title,year,rating,votes,runtime_minutes,certificate,genres,directors,stars,synopsis,cluster,Cluster
Forrest Gump,1994,8.8,,142,,,Robert Zemeckis|Winston Groom|Eric Roth|Tom Hanks|Robin Wright,Robert Zemeckis|Winston Groom|Eric Roth|Tom Hanks|Robin Wright|Gary Sinise|Sally Field|Rebecca Williams,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",2,Cluster 2
The Lord of the Rings: The Two Towers,2002,8.8,,179,,,Peter Jackson|J.R.R. Tolkien|Fran Walsh|Philippa Boyens|Elijah Wood,Peter Jackson|J.R.R. Tolkien|Fran Walsh|Philippa Boyens|Elijah Wood|Ian McKellen|Viggo Mortensen|Orlando Bloom,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",2,Cluster 2
Fight Club,1999,8.8,,139,,,David Fincher|Chuck Palahniuk|Jim Uhls|Brad Pitt|Edward Norton,David Fincher|Chuck Palahniuk|Jim Uhls|Brad Pitt|Edward Norton|Meat Loaf|Zach Grenier|Richmond Arquette,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,2,Cluster 2
Inception,2010,8.8,,148,,,Christopher Nolan|Leonardo DiCaprio|Joseph Gordon-Levitt|Elliot Page,Christopher Nolan|Leonardo DiCaprio|Joseph Gordon-Levitt|Elliot Page|Ken Watanabe|Tom Hardy|Dileep Rao|Cillian Murphy,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",2,Cluster 2
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,,124,,,Irvin Kershner|Leigh Brackett|Lawrence Kasdan|George Lucas|Mark Hamill,Irvin Kershner|Leigh Brackett|Lawrence Kasdan|George Lucas|Mark Hamill|Harrison Ford|Carrie Fisher|Billy Dee Williams,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",3,Cluster 3
The Matrix,1999,8.7,,136,,,Lana Wachowski|Lilly Wachowski|Keanu Reeves|Laurence Fishburne|Carrie-Anne Moss,Lana Wachowski|Lilly Wachowski|Keanu Reeves|Laurence Fishburne|Carrie-Anne Moss|Hugo Weaving|Gloria Foster|Joe Pantoliano,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",1,Cluster 1
Goodfellas,1990,8.7,,145,,,Martin Scorsese|Nicholas Pileggi|Robert De Niro|Ray Liotta|Joe Pesci,Martin Scorsese|Nicholas Pileggi|Robert De Niro|Ray Liotta|Joe Pesci|Lorraine Bracco|Paul Sorvino|Frank Sivero,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",2,Cluster 2
Interstellar,2014,8.7,,169,,,Christopher Nolan|Jonathan Nolan|Matthew McConaughey|Anne Hathaway|Jessica Chastain,Christopher Nolan|Jonathan Nolan|Matthew McConaughey|Anne Hathaway|Jessica Chastain|Ellen Burstyn|Mackenzie Foy|John Lithgow,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",2,Cluster 2
One Flew Over the Cuckoo's Nest,1975,8.7,,133,,,Milos Forman|Lawrence Hauben|Bo Goldman|Ken Kesey|Jack Nicholson,Milos Forman|Lawrence Hauben|Bo Goldman|Ken Kesey|Jack Nicholson|Louise Fletcher|Michael Berryman|Peter Brocco,"A rebellious convict is sent to a psychiatric hospital for evaluation in 1963 Oregon, and encourages his docile companions to take more control of their lives and defy the tyrannical head nurse.",2,Cluster 2
Se7en,1995,8.6,,127,,,David Fincher|Andrew Kevin Walker|Morgan Freeman|Brad Pitt|Kevin Spacey,David Fincher|Andrew Kevin Walker|Morgan Freeman|Brad Pitt|Kevin Spacey|Daniel Zacapa|Gwyneth Paltrow|John Cassini,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",2,Cluster 2
It's a Wonderful Life,1946,8.6,,130,,,Frank Capra|Frances Goodrich|Albert Hackett|James Stewart|Donna Reed,Frank Capra|Frances Goodrich|Albert Hackett|James Stewart|Donna Reed|Lionel Barrymore|Thomas Mitchell|Henry Travers,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,2,Cluster 2
The Silence of the Lambs,1991,8.6,,118,,,Jonathan Demme|Thomas Harris|Ted Tally|Jodie Foster|Anthony Hopkins,Jonathan Demme|Thomas Harris|Ted Tally|Jodie Foster|Anthony Hopkins|Scott Glenn|Ted Levine|Anthony Heald,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",2,Cluster 2
Seven Samurai,1954,8.6,,207,,,Akira Kurosawa|Shinobu Hashimoto|Hideo Oguni|Toshirô Mifune|Takashi Shimura,Akira Kurosawa|Shinobu Hashimoto|Hideo Oguni|Toshirô Mifune|Takashi Shimura|Keiko Tsushima|Yukiko Shimazaki|Kamatari Fujiwara,"Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him.",2,Cluster 2
Saving Private Ryan,1998,8.6,,169,,,Steven Spielberg|Robert Rodat|Tom Hanks|Matt Damon|Tom Sizemore,Steven Spielberg|Robert Rodat|Tom Hanks|Matt Damon|Tom Sizemore|Edward Burns|Barry Pepper|Adam Goldberg,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose comrades have been killed in action.",2,Cluster 2
The Green Mile,1999,8.6,,189,,,Frank Darabont|Stephen King|Tom Hanks|Michael Clarke Duncan|David Morse,Frank Darabont|Stephen King|Tom Hanks|Michael Clarke Duncan|David Morse|Bonnie Hunt|James Cromwell|Michael Jeter,A death row guard learns that a gentle giant in his charge possesses a mysterious gift.,2,Cluster 2
